id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
6221,SPJJ,medium_airport,"Francisco Carle Airport",-11.7831001282,-75.47339630130001,11034,SA,Peru,PE,"Junín Region",PE-JUN,JUN,Jauja,1,SPJJ,JAU,,,https://en.wikipedia.org/wiki/Francisco_Carle_Airport,,500,2011-10-04T15:02:01+00:00
6220,SPJI,medium_airport,"Juanjui Airport",-7.169099807739258,-76.72859954833984,1148,SA,Peru,PE,"San Martín Region",PE-SAM,SAM,Juanjuí,0,SPJI,JJI,,,,,275,2008-07-21T16:57:31+00:00
6236,SPSO,medium_airport,"Captain Renán Elías Olivera International Airport",-13.7449,-76.220299,39,SA,Peru,PE,"Ica Region",PE-ICA,ICA,Pisco,0,SPSO,PIO,,,https://en.wikipedia.org/wiki/Capit%C3%A1n_FAP_Ren%C3%A1n_El%C3%ADas_Olivera_Airport,"Capitán FAP Renán Elías Olivera",275,2022-08-25T15:42:43+00:00
6204,SPBR,medium_airport,"Iberia Airport",-11.411600112915039,-69.48870086669922,750,SA,Peru,PE,"Madre de Dios Region",PE-MDD,MDD,Iberia,0,SPBR,IBP,,,,,250,2008-07-21T16:57:09+00:00
6218,SPJA,medium_airport,"Juan Simons Vela Airport",-6.067860126495361,-77.16000366210938,2707,SA,Peru,PE,"San Martín Region",PE-SAM,SAM,Rioja,0,SPJA,RIJ,,,,,250,2008-07-21T16:57:29+00:00
6215,SPHY,small_airport,"Andahuaylas Airport",-13.706399917602539,-73.35040283203125,11300,SA,Peru,PE,"Apurímac Region",PE-APU,APU,Andahuaylas,1,SPHY,ANS,,,https://en.wikipedia.org/wiki/Andahuaylas_Airport,,150,2008-07-21T16:58:59+00:00
39628,SPHU,small_airport,"Huancayo Airport",-12.069899559020996,-75.19850158691406,10800,SA,Peru,PE,"Junín Region",PE-JUN,JUN,Huancayo,1,SPHU,,,,,,150,2008-07-21T16:58:31+00:00
39627,SPHL,closed,"Olmos Airport",-5.984722,-79.745277,585,SA,Peru,PE,"Lambayeque Region",PE-LAM,LAM,Olmos,1,,,,,,"SPHL, SPHL",150,2022-08-31T13:19:49+00:00
39643,SPPO,small_airport,"Pozuzo Airport",-10.070099830627441,-75.55000305175781,2420,SA,Peru,PE,"Pasco Region",PE-PAS,PAS,Pozuzo,1,SPPO,,,,,,150,2008-07-21T16:58:46+00:00
6211,SPGB,small_airport,"Galilea Airport",-4.031879901885986,-77.75879669189453,597,SA,Peru,PE,"Amazonas Region",PE-AMA,AMA,,0,SPGB,,,,,,50,2008-06-13T14:30:04+00:00
6207,SPEE,small_airport,"El Estrecho Airport",-2.4540600776672363,-72.67060089111328,421,SA,Peru,PE,"Loreto Region",PE-LOR,LOR,,0,SPEE,,SP69,,,,50,2008-06-13T14:30:04+00:00
6212,SPGP,small_airport,"Güeppi­ Airport",-0.11905600130558014,-75.2479019165039,680,SA,Peru,PE,"Loreto Region",PE-LOR,LOR,,0,SPGP,,SP01,,,,50,2008-07-21T16:57:20+00:00
327366,PE-0004,small_airport,"Santa Maria de Fatima Airport",-11.940815,-68.994212,857,SA,Peru,PE,"Madre de Dios Region",PE-MDD,MDD,,0,,,,,,,50,2018-04-27T11:13:09+00:00
39621,SPCR,small_airport,"Acarí Airbase Airport",-15.5,-74.66667175292969,540,SA,Peru,PE,"Arequipa Region",PE-ARE,ARE,Acarí,0,SPCR,,,,,,50,2008-07-21T16:58:24+00:00
39616,SPAT,small_airport,"Aguas Calientes Airport",-8.833330154418945,-74.68329620361328,9840,SA,Peru,PE,"Huánuco Region",PE-HUC,HUC,"Aguas Calientes",0,SPAT,,,,,,50,2008-08-27T07:58:46+00:00
39611,SPAG,small_airport,"Aguaytia Airport",-9.037409782409668,-75.50920104980469,5853,SA,Peru,PE,"Ucayali Region",PE-UCA,UCA,Aguaytia,0,SPAG,,,,,,50,2008-07-21T16:58:15+00:00
39610,SPAA,small_airport,"Caraz Airport",-9.05142879486084,-77.81014251708984,7401,SA,Peru,PE,"Ancash Region",PE-ANC,ANC,Ancash,0,SPAA,,,,,,50,2008-07-21T16:58:14+00:00
39602,SPNO,closed,"Ancón Airport",-11.7947,-77.180901,38,SA,Peru,PE,"Lima Region",PE-LIM,LIM,Ancón,0,,,,,,"SPNO, SPNO",50,2022-08-25T15:47:28+00:00
39619,SPCG,small_airport,"Casa Grande Airport",-7.743888854980469,-79.18638610839844,475,SA,Peru,PE,"La Libertad Region",PE-LAL,LAL,Ascope,0,SPCG,,,,,,50,2008-07-21T16:58:22+00:00
39639,SPOY,small_airport,"Atico Airport",-16.232846,-73.605652,9,SA,Peru,PE,"Arequipa Region",PE-ARE,ARE,Atico,0,SPOY,,,,,,50,2022-08-25T15:16:44+00:00
32345,SPAC,small_airport,"Ciro Alegria Airport",-4.566999912261963,-77.91699981689453,547,SA,Peru,PE,"Amazonas Region",PE-AMA,AMA,Bagua,0,SPAC,,,,,,50,2008-07-21T16:56:59+00:00
39626,SPGU,small_airport,"Baguá Airport",-5.6347222328186035,-78.53055572509766,1375,SA,Peru,PE,"Amazonas Region",PE-AMA,AMA,Baguá,0,SPGU,,,,,,50,2008-07-21T16:58:29+00:00
39617,SPBA,closed,"Barranca Airport",-10.75,-77.76667,160,SA,Peru,PE,"Lima Region",PE-LIM,LIM,Barranca,0,,,,,,"SPBA, SPBA",50,2022-08-31T13:15:37+00:00
333784,PE-0011,small_airport,"Patao Airport",-10.714039,-77.746854,381,SA,Peru,PE,"Lima Region",PE-LIM,LIM,Barranca,0,,,,,,,50,2020-04-06T15:17:50+00:00
39591,SPBY,closed,"Bayóvar Airport",-5.83075,-81.025803,88,SA,Peru,PE,"Piura Region",PE-PIU,PIU,Bayóvar,0,,,,,,"SPBY, SPBY",50,2022-08-31T13:20:49+00:00
30772,SPBL,small_airport,"Huallaga Airport",-7.06056022644043,-76.58219909667969,980,SA,Peru,PE,"San Martín Region",PE-SAM,SAM,Bellavista,0,SPBL,BLP,,,,,50,2008-07-21T16:57:09+00:00
323804,PE-0003,small_airport,"Cabo Pantoja Airstrip",-0.952,-75.179731,,SA,Peru,PE,"Loreto Region",PE-LOR,LOR,"Cabo Pantoja",0,,,,,,,50,2017-06-12T09:57:47+00:00
39625,SPGS,small_airport,"Lagunas Airport",-6.900000095367432,-78.63333129882812,12675,SA,Peru,PE,"Cajamarca Region",PE-CAJ,CAJ,Cajamarca,0,SPGS,,,,,,50,2008-07-21T16:58:28+00:00
32346,SPAM,closed,"Camana Airport",-16.606999,-72.697649,209,SA,Peru,PE,"Arequipa Region",PE-ARE,ARE,Camana,0,,,,,,"SPAM, SPAM",50,2022-08-25T15:30:35+00:00
32377,SPVL,small_airport,"Caraveli Airport",-15.77904,-73.36176,5675,SA,Peru,PE,"Arequipa Region",PE-ARE,ARE,Caraveli,0,SPVL,,,,,,50,2022-08-25T15:16:15+00:00
39649,SPSA,small_airport,"Casma Airport",-9.450235,-78.294346,248,SA,Peru,PE,"Ancash Region",PE-ANC,ANC,Casma,0,SPSA,,,,,,50,2022-02-23T17:36:47+00:00
